AutorIn;Titel;Untertitel;Verlag;Mitwirkende;Preis;Erscheinungsjahr;ISBN;Altersempfehlung;Inhaltsbeschreibung;Informationen;Einband;Seitenzahl;Abmessungen;Cover;"Cover DNB";"Cover KNV"
"Scott, Ceylan";"Auf einer Skala von 1 bis 10";;Carlsen;"Übersetzung: Schäfer, Beate";"15,00 €";2019;978-3-551-52111-8;"von 14 bis 99 Jahren";"Iris ist tot. Und Tamar sitzt in Lime Grove, einer geschlossenen Jugendpsychiatrie, wo sie den ganzen Tag lang sinnlose Fragen beantworten soll. Wie fühlst du dich, auf einer Skala von 1 bis 10? Du weißt schon, dass du dich nicht normal verhältst? Was genau ist eigentlich passiert? Aber Tamar sagt nichts. Sie kann einfach nicht erzählen, was mit Iris geschehen ist. Das Monster lässt es nicht zu.. Packend, echt, mitfühlend - dieser Insiderroman liest sich wie ein Thriller und sensibilisiert für die dramatischen Ausmaße psychischer Krankheiten.";;gebunden;224;;auf-einer-skala-von-1-bis-10.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-52111-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75259204&kennwort=OXCKKREJNSGIKP&variante=zoom&rang=01
"Silvera, Adam";"Was mir von dir bleibt";;"Arctis Verlag";"Übersetzung: Kröning, Christel; Fliedner, Hanna";"18,00 €";2019;978-3-03880-022-4;"ab 14 Jahren";"Als Griffins erste Liebe und Exfreund Theo bei einem Unfall stirbt, bricht für ihn eine Welt zusammen. Denn obwohl Theo aufs College nach Kalifornien gezogen war und anfing, Jackson zu daten, hatte Griffin nie daran gezweifelt, dass Theo eines Tages zu ihm zurückkehren würde. Für Griffin beginnt eine Abwärtsspirale. Er verliert sich in seinen Zwängen und selbstzerstörerischen Handlungen, und seine Geheimnisse zerreißen ihn innerlich. Sollte eine Zukunft ohne Theo für ihn überhaupt denkbar sein, muss Griffin sich zuerst seiner eigenen Geschichte stellen - jedem einzelnen Puzzlestück seines noch jungen Lebens.. 'Was mir von dir bleibt' ist der neue herzergreifende Jugendbuch-Roman des New York Times-Bestsellerautors Adam Silvera.";;gebunden;368;"14,8cm x 22,2cm";was-mir-von-dir-bleibt.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-03880-022-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793173&kennwort=XLBOKTEMQGLRFJ&variante=zoom&rang=01
"Smit, Lucy van";"The Hurting";"Als du mich gestohlen hast";Carlsen;"Übersetzung: Zeitz, Sophie";"17,00 €";2019;978-3-551-52112-5;"von 14 bis 99 Jahren";"Nordic Noir trifft auf Brontës Sturmhöhe.. Nell glaubt nicht an Liebe auf den ersten Blick - bis sie Lukas begegnet. Dem attraktiven und irgendwie wilden Jungen im Wolfsmantel. Mit Lukas wird ihr Leben schöner, mit ihm kann sie glücklich sein. Doch Lukas verfolgt einen finsteren Plan und als Nell das begreift, ist sie schon mitten im Nirgendwo, hat ein Kind entführt und wird von der Polizei gesucht. Und hier, in der Einsamkeit norwegischer Wälder, beginnt für sie ein Überlebenskampf - gegen die Natur, gegen Wölfe, gegen den Schmerz und gegen den Jungen, den sie liebt.. Dieser Geschichte kann man sich nicht entziehen. Sie wühlt auf, sie überrascht und sie zerreißt einem das Herz!";;gebunden;368;"15,4cm x 21,2cm";the-hurting.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-52112-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262063&kennwort=KMNOCNHONDFJMQ&variante=zoom&rang=01
"Woltz, Anna";"Hundert Stunden Nacht";;Carlsen;"Übersetzung: Kluitmann, Andrea";"7,99 €";2019;978-3-551-31803-9;"von 14 bis 20 Jahren";"Eine spannende Coming-of-Age-Geschichte vor der einmaligen Kulisse von New York.. Emilia hat sich die Kreditkarte ihres Vaters geschnappt und einen Flug nach New York gebucht. Sie will einfach nur weg. Aber das Apartment, das sie übers Internet gemietet hat, gibt es gar nicht und zu allem Überfluss kündigt sich Wirbelsturm Sandy an. Zum Glück lernt sie Seth, Abby und den ziemlich verrückten Jim kennen. Zusammen kommen sie in der Wohnung von Seth und Abby in SoHo unter. Inzwischen hat der Sturm die Stadt fest im Griff: das Haus beginnt zu wackeln, dann fällt der Strom aus. Die vier müssen immer enger zusammenrücken, ob sie wollen oder nicht.";;kartoniert;256;"12cm x 18,6cm";hundert-stunden-nacht.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31803-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260546&kennwort=QEELODHMQCEJVA&variante=zoom&rang=01
"Birck, Jan";"Storm und die Fußballgötter";;Carlsen;;"13,00 €";2019;978-3-551-65126-6;"von 6 bis 10 Jahren";"Fußball? Kennt jeder. Doch wie ist es erfunden worden? Jan Birck erzählt von einem kleinen Wikinger-Jungen namens Storm, der eine bahnbrechende Erfindung macht. Eine Erfindung, die alles verändert!. BAND 2: Storm muss sich einer anspruchsvollen Prüfung unterziehen, um ein echter Wikinger zu werden. Dabei geht es mithilfe von zwei Riesenvögeln hinauf in die allerhöchsten Berge. Und wen trifft Storm dort? Die echten Fußballgötter!. Band 1 nominiert für ""Lese-Kicker 2018"". Platz 1 aller Fußball-Lesebücher. Für alle Fußball-Fans ab 6 Jahren. Zum Vorlesen und erstem Selberlesen: Lesespaß für die ganze Familie!Mit vierfarbigen Bildern: bunt illustriert von Jan Birck. ";Vierfarbig.;gebunden;176;"17,8cm x 24,6cm";storm-und-die-fussballgoetter.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-65126-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262006&kennwort=MNNOCNHONDFJMQ&variante=zoom&rang=01
"Grimm, Sandra";"Kleine Wirbelhexe Lexa";"Der Bücherbär: Mein LeseBilderbuch";Arena;"Illustration: Kaden, Outi";"8,99 €";2019;978-3-401-71299-4;"ab 5 Jahren";"Die kleine Hexe Lexa kocht am liebsten Kürbissuppe. Hmm! Doch heute geht einfach alles schief! Zuerst fallen verhexte Pilze in die Suppe und dann zaubert ihr Zauberstab lauter seltsame Dinge. Verhext nochmal! Und auch nebenan bei Zauberer Wim ist nichts so wie es sein soll ... Ob die beiden das Zauberdurcheinander werden lösen können?";;gebunden;56;"17,2cm x 27,1cm";kleine-wirbelhexe-lexa.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71299-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138198&kennwort=NPHHORGKPUFHMY&variante=zoom&rang=01
"Kaup, Ulrike";"Dino Oskar und das geheimnisvolle Ei";;Arena;"Illustration: Bruder, Elli";"7,99 €";2019;978-3-401-71017-4;"ab 5 Jahren";"Dino Oskar liebt Fressen! Und deshalb hat er gegen ein großes Frühstücksei natürlich nichts einzuwenden. Doch plötzlich macht es KNACKS! - und aus dem Ei schlüpft ein kleines Wesen. Irgendwie sieht es seltsam aus. Und wo sind seine Eltern? Oskar beschließt, es zurück nach Hause zu bringen. Doch auf dem Weg wartet ein echtes Abenteuer auf ihn ...";"Mit Bücherbärfigur am Lesebändchen.";gebunden;48;"17,2cm x 27,4cm";dino-oskar-und-das-geheimnisvolle-ei.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71017-4;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138073&kennwort=IJNRRCGRLSBHJN&variante=zoom&rang=01
"Kaup, Ulrike";"Detektivbüro Eulenauge - Willi Watson und der Mitternachtsdieb";"Eine Detektivgeschichte zum Mitraten";Arena;"Illustration: Balmaseda, Marta";"7,99 €";2019;978-3-401-71199-7;"ab 6 Jahren";"Zertrampelte Blumen, zermatschte Törtchen und allerlei seltsame Diebstähle. Wer treibt da nur nachts sein Unwesen im Wald? Ein Gespenst? Aber welches Gespenst trägt denn pinkfarbene Puschen? Eines ist sicher: Das ist ein neuer Fall für das Detektivbüro Eulenauge!";"Mit Bücherbärfigur am Lesebändchen.";gebunden;56;"16,1cm x 20,9cm";detektivbuero-eulenauge-willi-watson-und-der-mitternachtsdieb.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71199-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138108&kennwort=JLPPAEPJQPFHLO&variante=zoom&rang=01
"Knorre, Alexander von";"Juli & August - Krokodil über Bord";;DTV;"Illustration: Knorre, Alexander von";"12,95 €";2019;978-3-423-76248-9;"ab 6 Jahren";"Floßfahrt ins Abenteuer. Gemütlich treibt der 8-jährige August auf einem aufblasbaren Gummi-Krokodil mitten auf dem Meer. Eigentlich hätte er jetzt gern ein Eis, stattdessen begegnet er Juli. Die schippert da ganz lässig auf ihrem Floß herum. Das Floß ist ihr Zuhause, bestens ausgestattet mit Hängematte, Huhn und einer Meerwasserdusche. Nur zu gerne würde August bei Juli als Schiffsjunge anheuern. Aber Juli lässt nicht jeden auf ihr Floß, erst muss August beweisen, dass er geeignet ist. Nach und nach freunden die zwei sich an und erleben gemeinsam die Abenteuer, Gefahren und Glücksmomente eines Vagabunden-Lebens auf hoher See.";"Mit farbigen Illustrationen von Alexander von Knorre.";gebunden;128;;juli-august-krokodil-ueber-bord.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-76248-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865624&kennwort=YPNKEGPELRIPCG&variante=zoom&rang=01
"Kranendonk, Anke";"Käpt`n Kalle";;Carlsen;"Übersetzung: Hachmeister, Sylke. Illustration: Haeringen, Annemarie van";"6,99 €";2019;978-3-551-31806-0;"von 6 bis 10 Jahren";"Kalle bekommt ein Boot. Sein eigenes Boot! Das muss er sofort ausprobieren. Und zwar zusammen mit Max, dem Hund der Nachbarin, und natürlich dem Meerschweinchen Hektor. Aber so einfach ist das gar nicht. Jedenfalls erstmal. Dann aber fahren alle drei auf den Fluss hinaus zu den großen Schiffen. Das ist toll, aber fast zu spannend. Zum Glück trifft Kalle unterwegs Septimia. Die hat kein Haustier, also schenkt Kalle ihr Hektor. Dann muss er weiter, mehr Abenteuer erleben, ehe er die beiden schließlich zum Eisessen wiedersieht.";;kartoniert;160;;kaept-n-kalle.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-31806-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260662&kennwort=RBILQEJOPBGSNF&variante=zoom&rang=01
"Pauli, Lorenz";"Am Sonntag, als das Ei aufging";"Drei Geschichten";"Atlantis, Orell Füssli";"Illustration: Schärer, Kathrin";"14,95 €";2019;978-3-7152-0766-7;"ab 6 Jahren";"Drei witzige Geschichten laden dazu ein, das Selberlesen zu entdecken:. Das Fest war toll! Wann feiern wir wieder? - Der Bär und der Igel versuchen zu zählen und reisen in Gedanken durch Wochentage, Monate und Jahreszeiten. Ein Hamster reist durch die Welt und kann mit viel Geschick gefährliche Situationen meistern. Und ein kleiner Vogel brütet ein riesiges Ei aus. Was herausspringt, kann verwirren, aber das Ende überrascht im besten Sinn.. Nicht nur die kurzen Texte bringen uns zum Lachen. Die Bilder steigern die Komik, die Geschichten schlagen Purzelbäume.";;gebunden;112;"15,8cm x 24,6cm";am-sonntag-als-das-ei-aufging.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7152-0766-7;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74793346&kennwort=UMPFSOHIQEKPFL&variante=zoom&rang=01
"Reichenstetter, Friederun";"So leben die Tiere. Der Wolf";;Arena;"Illustration: Döring, Hans-Günther";"7,99 €";2019;978-3-401-71348-9;"ab 6 Jahren";"Wer lebt in Rudeln, ist in der Dämmerung aktiv und hat einen phänomenalen Geruchssinn? Natürlich der Wolf! Wie lebt er, der Vorfahr der Hunde? Wovon ernährt er sich? Wie zieht er seine Jungen groß? Spannendes und Wissenswertes rund um den heimischen Jäger und seine Lebenswelt.";"Mit Bücherbärfigur am Lesebändchen.";gebunden;48;"15,7cm x 22,1cm";so-leben-die-tiere-der-wolf.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71348-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138202&kennwort=HGIMPTHHIMXBIH&variante=zoom&rang=01
"Schlichtmann, Silke";"Mattis und das klebende Klassenzimmer";;Hanser;"Illustration: Bohn, Maja";"10,00 €";2019;978-3-446-26220-1;"ab 7 Jahren";"Eine neue Reihe über den erfinderischen Mattis, dem trotz bester Absichten immer wieder Lehrerbriefe über sein angebliches Fehlverhalten ins Haus flattern. Dabei hat Mattis richtig gute Ideen: Zum Beispiel hilft er seinen Mitschülern stillzusitzen, indem er sie mit Sekundenkleber an Tischen und Stühlen festklebt! Blöd ist nur, dass der Lehrer das nicht kapiert und mal wieder einen Brief an seine Eltern schreibt. Mattis muss das zu Hause unbedingt richtigstellen - aber das tut er garantiert auf die originellste Weise! Ein urkomischer Lesespaß für Schulanfänger.";"Durchgehend vierfarbig illustriert.";gebunden;64;"18cm x 21cm";mattis-und-das-klebende-klassenzimmer.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-446-26220-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73544355&kennwort=JLMQLFMLRDHKPN&variante=zoom&rang=01
"Schmitz, Hanna";"Die lustigsten Kinderwitze";"Von komischen Vögeln und lachenden Hühnern";Arena;"Herausgegeben von Schmitz, Hanna. Illustration: Rieckhoff, Jürgen";"7,99 €";2019;978-3-401-71361-8;"ab 6 Jahren";"So macht Lesen lernen Spaß! Die kunterbunten Kinderwitze aus der Schule, dem Tierreich und dem Alltag bringen einfach jeden zum Lachen. Selbst ungeübte Leseanfänger können die kurzen Texte leicht bewältigen und die Pointen schnell erfassen.";"Mit farbigen Illustrationen, mit Bücherbärfigur am Lesebändchen.";gebunden;48;"15,6cm x 21,9cm";die-lustigsten-kinderwitze.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71361-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138235&kennwort=JLPPAEPJQPFHLO&variante=zoom&rang=01
"Auer, Margit";"Die Schule der Magischen Tiere - Endlich Ferien - Helene und Karajan";;Carlsen;"Illustration: Dulleck, Nina";"12,00 €";2019;978-3-551-65334-5;"von 8 bis 11 Jahren";"Auf in die Ferien - mit einem magischen, sprechenden Tier!. BAND 4: Bonjour, Paris! Helene hat eine Reise zu einer Modenschau gewonnen! Nach Paris - in Kater Karajans alter Heimat! Doch dann läuft nichts wie geplant: Helene landet im Dreibettzimmer statt im Luxushotel und die anderen Mädchen sind total eingebildet. ""Einfach schröcklisch"", findet der magische Kater. Die zwei sind sich einig: Nix wie weg hier! Ein Glück, dass Karajan sich so gut auskennt in der Stadt .... DIE SCHULE DER MAGISCHEN TIERE - ENDLICH FERIEN: In der Schule der magischen Tiere heißt es: Endlich Ferien! Die magischen Tiere packen ihre Koffer - und das Abenteuer beginnt ... Ein spannender Ferienkrimi in kurzen Kapiteln - mit echtem magischem Tier.. Perfekt für die Sommerferien!";"Schwarz-weiß illustriert, Gebunden mit Spotlackierung.";gebunden;224;;die-schule-der-magischen-tiere-endlich-ferien-helene-und-karajan.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-65334-5;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75260502&kennwort=IGKNSAFGKVPGFL&variante=zoom&rang=01
"Auer, Margit";"Die Schule der magischen Tiere - Witze!";"Über 333 magische Tier- und Schülerwitze";Carlsen;"Herausgegeben von Jockel, Maja. Illustration: Dulleck, Nina";"6,99 €";2019;978-3-551-65105-1;"von 8 bis 10 Jahren";"Was bekommt man, wenn man Stachelschwein Zeki mit einer Giraffe kreuzt? Eine seeehr lange Zahnbürste!. Miss Cornfield beschließt: Letzte Stunde witzefrei - und die magischen Tiere kichern los! In diesem Witzebuch warten über 333 Witze und Scherzfragen rund um die Schule der magischen Tiere auf dich. Lach dich schlapp - für zauberhaft gute Laune!. DIE SCHULE DER MAGISCHEN TIERE: Diese Schule birgt ein Geheimnis! Wer Glück hat, findet hier den besten Freund, den es auf der Welt gibt. Ein magisches Tier. Ein Tier, das sprechen kann. Wenn es zu dir gehört .... Endlich auf dem Stundenplan: magische Tierwitze, fröhliche Schülerwitze, tolle Lieblingswitze und coole Ferienwitze.. Für echte Fans der Schule der magischen Tiere - von Mister Morrison empfohlen!";;gebunden;144;;die-schule-der-magischen-tiere-witze.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-551-65105-1;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=75262411&kennwort=KJOMRCGRLSBHJN&variante=zoom&rang=01
"Kivinen, Pertti";"Die Blaubeerdetektive. Gefahr für den Inselwald!";;DTV;"Übersetzung: Stohner, Anu. Illustration: Engelking, Katrin";"12,95 €";2019;978-3-423-64048-0;"ab 8 Jahren";"Für Liebhaber skandinavischer Krimis. Wenn der Sägewerkbesitzer Mäkelä plötzlich zu allen Leuten freundlich ist, kann irgendwas nicht stimmen. Davon sind die Blaubeerdetektive Samu, Alma, Selma und Olli überzeugt. Mäkelä ist nämlich als der größte Miesepampel weit und breit bekannt. Als einer, der nichts umsonst macht - nicht mal lächeln. Ganz klar, der hat was Fieses vor, und die Detektive wissen auch bald, was: Er will ein uraltes geschütztes Eichenwäldchen abholzen. Angeblich sind die Bäume vom gefährlichen Borkenkäfer befallen. Aber warum bestellt er dann genau solche Käfer aus dem Internet? Weil er sie überhaupt erst aussetzen will, darum! Das ist sein Plan, aber die Blaubeerdetektive haben einen besseren. Sie werden die Käfer vertauschen. Gegen Mücken und Hühnerflöhe. Die machen sich nichts aus Eichen - aber aus Menschen, die nachts im Wald herumschleichen!";"Mit Illustrationen von Katrin Engelking.";gebunden;160;"14,2cm x 21,4cm";die-blaubeerdetektive-gefahr-fuer-den-inselwald.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-64048-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865254&kennwort=XLBOKTEMQGLSCJ&variante=zoom&rang=01
"Ludwig, Sabine";"Klassenreise mit Miss Braitwhistle";;"Dressler Verlag GmbH";"Illustration: Göhlich, Susanne";"14,00 €";2019;978-3-7915-0076-8;"ab 8 Jahren";"Funny-fantastisch: Ein neues Abenteuer mit Miss Braitwhistle.Franz und Aki haben es tatsächlich in die fünfte Klasse geschafft! Doch gibt es da nicht noch eine Geschichte der chaotischen 4a, die nie erzählt wurde? Na klar: die von ihrer Klassenfahrt! Miss Braitwhistle auf Reisen mit der 4a? Das kann ja nur durcheinander gehen.Mit Charme und feiner Ironie erzählt Sabine Ludwig Schulgeschichten, die zum Schieflachen sind und gleichzeitig Werte vermitteln - ohne erhobenen Zeigefinger.";;gebunden;208;"14,6cm x 21,4cm";klassenreise-mit-miss-braitwhistle.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7915-0076-8;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419587&kennwort=VLBOKTEMQGLSCJ&variante=zoom&rang=01
"Möller, Thomas; Grusnick, Sebastian";"Grüße vom Mars";"Notlandung bei Oma und Opa";"Dressler Verlag GmbH";"Illustration: Holtmann, Teresa";"13,00 €";2019;978-3-7915-0067-6;"ab 8 Jahren";"Grüße vom Mars: Eine außerirdische Reise zu Oma und Opa.Tom ist acht und etwas eigen. Er will unbedingt auf den Mars, sitzt am Tisch nur rechts vom Kopfende und wenn ihm etwas zu viel wird, zieht er seinen Astronautenhelm an. Als seine Mutter nach China muss, soll Tom mit den Geschwistern bei Oma und Opa wohnen. Doch die Großeltern haben den Besuch der Enkel glatt vergessen. Und zu Toms Schrecken besitzen sie nur einen einzigen, runden (!) Esstisch. Da hilft es nur, das Ganze als Vorbereitung auf die Mars-Mission zu sehen.Berührend, witzig und mit viel Leichtigkeit erzählen Thomas Möller und Sebastian Grusnick diese liebevolle Geschichte.";;gebunden;176;"14,6cm x 21,6cm";gruesse-vom-mars.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-7915-0067-6;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73419565&kennwort=VJQDJWCLMEIODK&variante=zoom&rang=01
"Parvela, Timo";"Ella und das Abenteuer im Wald";;DTV;"Übersetzung: Stohner, Anu; Stohner, Nina. Illustration: Wilharm, Sabine";"6,95 €";2019;978-3-423-62703-0;"ab 8 Jahren";"Die lustigsten Ferien aller Zeiten. Ella und ihre Mitschüler sind diesmal im Sommercamp - mit ihrem Lehrer. Dort kommt es, wie es kommen muss: Es regnet, der Lehrer lässt die Würstchen verkohlen, und die Mücken stechen wie noch nie. Doch dann taucht plötzlich der Direktor der Schule mit einigen Fieslingen auf, die mitten in der schönsten Natur Ferienhäuser bauen wollen, genau dort, wo die putzigen Otter wohnen! Was kann man dagegen tun? Protestlieder singen? Sich als Riesenotter verkleiden und die Tiere an einen sicheren Ort locken? Das ist der Vorschlag des Lehrers, aber die richtigen Otter verstehen ihn falsch. Und jetzt? Jetzt legt die witzigste Schulklasse der Welt erst richtig los, und ein großes Abenteuer beginnt.";;kartoniert;160;;ella-und-das-abenteuer-im-wald.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-62703-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865151&kennwort=LOKFNNEHMQGGLN&variante=zoom&rang=01
"Schneider, Antonie";"Der Junge und der Kapitän";;DTV;;"7,95 €";2019;978-3-423-62700-9;"ab 9 Jahren";"Über den Mut, ein Zuhause in der Fremde zu finden. Ein Junge muss aus seiner Heimat fliehen, mit anderen Flüchtlingen, weit weg, in eine fremde Stadt. Ein alter Ausflugsdampfer im Hafen der fremden Stadt dient den Flüchtlingen als Unterkunft. Der Junge, der auf der ganzen Welt niemanden mehr hat, findet nach und nach in dem Kapitän des Schiffes einen echten Freund, bei dem er gern bleiben würde. Doch unerwartet beschließt der Bürgermeister der Stadt, dem Jungen ein gutes Zuhause zu geben - in einem Heim ...";;kartoniert;96;"12,2cm x 19,2cm";der-junge-und-der-kapitaen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-423-62700-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74865127&kennwort=NPHHORGKQQFHMY&variante=zoom&rang=01
"Sparschuh, Jens";"Jakobs Muschel";;"Gerstenberg Verlag";"Illustration: Dürr, Julia";"13,95 €";2019;978-3-8369-5648-2;"ab 7 Jahren";"Jakob hört das Meer rauschen, wenn er seine Muschel ans Ohr hält. Und wenn er die Augen schließt, kann er es sogar sehen. Als er mit der Muschel auf dem Klettergerüst zwischen den Hochhäusern sitzt, taucht ausgerechnet Jonas auf. Jonas mit den teuren Sportschuhen und den coolen Sprüchen, der ihn immer ärgert. Prompt schnappt er sich Jakobs Muschel. Nach einem Blick nach unten klammert Jonas sich allerdings erst mal mit beiden Händen am Gerüst fest. Jakob schließt die Augen und plötzlich kann er ihn sehen - Jonny, den Freibeuter, den Schrecken der Meere. Mit der Warze auf der Nase sieht er Jonas ziemlich ähnlich. Doch das Piratenschiff gerät in einen Sturm und geht unter. Leider können nicht alle Seeräuber schwimmen... Und wie ist das mit Jonas?Eine humorvolle Geschichte über kleine Machos und große Träumer und über die Macht der Fantasie.";"Durchgehend farbig.";gebunden;64;"17,8cm x 25,2cm";jakobs-muschel.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-8369-5648-2;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74901395&kennwort=NPHHORGKQQFHMY&variante=zoom&rang=01
"Städing, Sabine";"Petronella Apfelmus - Zauberhut und Bienenstich";;"Boje Verlag";"Illustration: Büchner, Sabine";"12,00 €";2019;978-3-414-82536-0;"ab 8 Jahren";"Ein Abenteuer der beliebten Apfelhexe Petronella Apfelmus im Paperbackformat und mit schönen Extras. Wer würde nicht gerne mal mit Lea und Luis Kuchenbrand tauschen - den beiden Kindern, die eine echte Apfelhexe zur Freundin haben! Mit Petronella Apfelmus kann man jede Menge Abenteuer erleben - sogar der Flug auf einem Hexenbesen ist mit ihr ein Kinderspiel. Neben der Sommergeschichte finden sich in diesem Buch viele Rätsel für eine abwechslungsreiche Ferienzeit. Außerdem gibt es eine Postkarte zum Heraustrennen und Kofferanhänger in Apfelhexen-Optik. So macht der nächste Sommer erst richtig Spaß!";"Erstauflage Sonderausgabe, Großformatiges Paperback Klappenbroschur.";kartoniert;224;"14,5cm x 21,5cm";petronella-apfelmus-zauberhut-und-bienenstich.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-414-82536-0;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=74196651&kennwort=PBILQEKJPBGSNF&variante=zoom&rang=01
"Verne, Jules; Knape, Wolfgang";"Reise um die Erde in 80 Tagen";;Arena;"Illustration: Zöller, Markus";"7,99 €";2019;978-3-401-71351-9;"ab 7 Jahren";"In 80 Tagen um die Welt? Kein Problem, findet Mister Fogg! Ohne zu zögern schließt er eine Wette um sein halbes Vermögen ab. So beginnt die Reise und eines der bekanntesten Werke der Weltliteratur. Durch Kontinente und über Ozeane reisen Mister Fogg und sein Diener. Unbekannte Gefahren, unvorhergesehene Ereignisse und ein seltsamer Detektiv der Londoner Polizei sind ihre ständigen Begleiter. Werden sie es rechtzeitig zurück nach London schaffen? Jules Vernes zeitloses Abenteuer altersgerecht neuerzählt von Wolfgang Knape.";"Mit Bücherbärfigur am Lesebändchen.";gebunden;72;"15,6cm x 21cm";reise-um-die-erde-in-80-tagen.jpg;https://portal.dnb.de/opac/mvb/cover.htm?isbn=978-3-401-71351-9;https://multimedia.knv.de/cgi-bin/knvmmdb.cgi?herkunft=knv&MM_IDENTNR=999wsmm&typ=cover&vknr=31776&id=73138213&kennwort=GAFGJLPMQADNGM&variante=zoom&rang=01
